Date,Open,High,Low,Close,Volume
1896-12-31,29.39,32.52,20.76,29.3
1897-12-31,29.24,40.43,27.88,35.79
1898-12-30,35.71,44.16,30.42,43.83
1899-12-29,43.75,56.21,42.2,47.6
1900-12-31,49.34,51.45,38.36,51.21
1901-12-31,51.02,56.68,44.56,46.76
1902-12-31,46.58,49.57,43.14,46.56
1903-12-31,46.79,49.03,30.53,35.57
1904-12-30,34.6,53.04,33.65,50.73
1905-12-29,50.98,69.93,49.8,69.93
1906-12-31,68.8,74.6,61.69,68.33
1907-12-31,68.26,69.8,38.39,42.55
1908-12-31,43.17,64.01,42.46,62.39
1909-12-31,61.75,72.81,57.87,71.74
1910-12-30,71.22,71.22,53.32,58.96
1911-12-29,59.47,63.05,52.83,59.08
1912-12-31,59.65,68.19,58.08,63.64
1913-12-31,64.04,64.15,52.23,57.06
1914-12-31,56.92,60.42,51.73,54.58
1915-12-31,55.44,99.21,54.22,99.15
1916-12-29,98.81,110.15,86.4,95
1917-12-31,96.15,99.18,65.95,74.38
1918-12-31,76.68,89.07,73.38,82.2
1919-12-31,82.6,119.62,79.35,107.23
1920-12-31,108.76,108.85,66.75,71.95
1921-12-30,72.67,81.5,63.9,80.8
1922-12-29,78.91,102.76,78.59,98.17
1923-12-31,98.77,105.38,85.91,95.52
1924-12-31,95.65,120.51,88.33,120.51
1925-12-31,121.25,159.39,115,156.66
1926-12-31,158.75,166.14,135.2,157.2
1927-12-30,155.16,200.93,152.73,200.7
1928-12-31,203.35,301.6,191.33,300
1929-12-31,300.3,386.1,195.4,248.5
1930-12-31,248.5,297.3,154.5,164.6,183991044
1931-12-31,164.6,197,71.8,77.9,141691696
1932-12-30,77.9,89.9,40.6,59.9,104613567
1933-12-29,59.9,110.5,49.7,99.9,159967457
1934-12-31,99.9,111.9,84.6,104,79747046
1935-12-31,104,149.4,96,144.1,93862107
1936-12-31,144.1,186.4,141.5,179.9,121353129
1937-12-31,179.9,195.6,112.5,120.9,101250010
1938-12-30,120.9,158.9,97.5,154.8,72624360
1939-12-29,154.8,157.8,120,150.2,63778611
1940-12-31,150.5,153.3,110.4,131.1,51207954
1941-12-31,131.1,134.3,105.5,111,42304575
1942-12-31,111,120.2,92.7,119.4,31285316
1943-12-31,119.5,146.4,118.8,135.9,68785837
1944-12-29,135.9,153,134.1,152.3,64623066
1945-12-31,152.3,196.6,150.5,192.9,92104065
1946-12-31,192.7,213.4,160.5,177.2,87054354
1947-12-31,177.2,187.7,161.4,181.2,61273002
1948-12-31,181.2,194.5,164.1,177.3,74087399
1949-12-30,177,200.9,160.6,200.1,66071455
1950-12-29,200.1,236.6,193.9,235.4,130182110
1951-12-31,235.4,277.5,234.9,269.2,110236948
1952-12-31,269.2,293.5,254.7,291.9,80013239
1953-12-31,291.9,295.1,254.4,280.9,80007516
1954-12-31,280.9,407.2,278.9,404.4,129483609
1955-12-30,404.4,490.8,385.7,488.4,146789769
1956-12-31,488.4,524.4,458.2,499.5,125375184
1957-12-31,499.5,523.1,416.2,435.7,126027068
1958-12-31,435.7,587.4,434,583.7,168419545
1959-12-31,583.7,683.9,571.7,679.4,184973685
1960-12-30,679.4,688.2,564.2,615.9,172881205
1961-12-29,615.9,741.3,606.1,731.1,229592486
1962-12-31,731.1,734.4,524.6,652.1,217628571
1963-12-31,652.1,773.1,643.6,763,258807516
1964-12-31,763,897,760.3,874.1,278824059
1965-12-31,874.1,976.6,832.7,969.3,350833088
1966-12-30,969.3,1001.1,735.7,785.7,427960148
1967-12-29,785.7,951.6,776.2,905.1,570410529
1968-12-31,905.1,994.7,817.6,943.8,661060153
1969-12-31,943.8,974.9,764.5,800.4,642175936
1970-12-31,800.4,848.2,627.5,838.9,664675941
1971-12-31,838.9,958.1,790.7,890.2,878512778
1972-12-29,890.2,1042.4,882.8,1020,933241348
1973-12-31,1022.9,1067.2,783.6,850.9,915288720
1974-12-31,850.9,904,570,616.2,793443609
1975-12-31,619.1,888.9,619.1,852.4,1059525569
1976-12-31,852.4,1026.3,848.6,1004.7,1208821805
1977-12-30,1004.7,1007.8,792.8,831.2,1190458650
1978-12-29,830.5,917.2,736.8,805,1624078195
1979-12-31,805,904.9,792.2,838.7,1847515485
1980-12-31,838.7,1009.4,730,964,2560292483
1981-12-31,964,1031,807.5,875,2674024062
1982-12-31,875,1078.5,770,1046.5,3711965411
1983-12-30,1046.5,1297,1013.4,1258.6,4868420293
1984-12-31,1258.6,1295.4,1079,1211.6,5205931580
1985-12-31,1211.6,1570.9,1178.7,1546.7,6205276682
1986-12-31,1546.7,1971.7,1491.7,1896,8048005259
1987-12-31,1897.4,2746.7,1616.2,1938.8,10781605265
1988-12-30,1950.8,2195.1,1846,2168.6,9213836839
