Date,Open,High,Low,Close,Volume
1975-05-30,87.3,93.51,86.94,91.15,508322223
1975-06-30,91.32,95.85,89.3,95.19,496666667
1975-07-31,95.19,96.58,87.68,88.75,490755556
1975-08-29,88.75,89.04,82.21,86.88,312744444
1975-09-30,86.88,87.42,81.57,83.87,305688886
1975-10-31,83.87,91.75,82.57,89.04,406155555
1975-11-28,89.04,92.33,87.63,91.24,354233336
1975-12-31,91.24,91.9,86.15,90.19,387744443
1976-01-30,90.19,101.99,89.81,100.86,706477778
1976-02-27,100.86,103.07,98.5,99.71,662366667
1976-03-31,99.71,104.39,98.23,102.77,588444443
1976-04-30,102.77,104.63,99.57,101.64,435844445
1976-05-31,101.64,103.99,98.26,100.18,395455557
1976-06-30,100.18,105.07,97.97,104.28,463588888
1976-07-30,104.28,106.78,102.31,103.44,437511110
1976-08-31,103.44,105.41,100.43,102.91,385200002
1976-09-30,102.91,108.72,102.6,105.24,460833332
1976-10-29,105.24,105.75,99.21,102.9,401544443
1976-11-30,102.9,103.78,98.18,102.1,423355557
1976-12-31,102.1,107.82,101.62,107.46,593944444
1977-01-31,107.46,107.97,100.91,102.03,557355556
1977-02-28,102.03,103.32,98.82,99.82,442711111
1977-03-31,99.82,102.7,97.8,98.42,482988887
1977-04-29,98.42,102.07,96.53,98.44,447844446
1977-05-31,98.44,100.93,95.52,96.12,473133334
1977-06-30,96.12,101.65,95.89,100.48,539055557
1977-07-29,100.48,102.57,97.71,98.85,502755558
1977-08-31,98.85,99.84,95.04,96.77,481833333
1977-09-30,96.77,98.43,94.44,96.53,426300002
1977-10-31,96.53,97.27,90.2,92.34,459411113
1977-11-30,92.19,97.11,90.01,94.83,549644444
1977-12-30,94.83,95.67,91.76,95.1,501077776
1978-01-31,95.1,95.15,88.02,89.25,475711113
1978-02-28,89.25,91.32,86.58,87.04,409555555
1978-03-31,87.04,91.35,86.45,89.21,552866665
1978-04-28,89.2,97.91,88.07,96.83,772888890
1978-05-31,96.83,100.32,94.57,97.24,861944444
1978-06-30,97.24,101.84,93.99,95.53,740322221
1978-07-31,95.53,101.18,93.59,100.68,601655556
1978-08-31,100.68,106.27,99.95,103.29,961055554
1978-09-29,103.29,108.05,100.66,102.54,746988890
1978-10-31,102.54,106.23,91.65,93.15,758155555
1978-11-30,94.13,97.41,91.77,94.7,571788890
1978-12-29,95.01,98.58,92.64,96.11,547155557
1979-01-31,96.11,102.59,95.22,99.93,684144445
1979-02-28,99.93,100.52,95.38,96.28,528566667
1979-03-30,96.28,103.31,95.98,101.59,722000000
1979-04-30,101.56,103.95,100.14,101.76,689611114
1979-05-31,101.76,102.57,97.49,99.08,693044444
1979-06-29,99.08,103.67,98.57,102.91,817455555
1979-07-31,102.91,105.17,100.35,103.81,756377779
1979-08-31,103.81,109.84,103.14,109.32,916722223
1979-09-28,109.32,111.58,105.38,109.32,793266667
1979-10-31,109.19,112.16,99.06,101.82,953255555
1979-11-30,101.82,107.89,99.42,106.16,726277780
1979-12-31,106.16,110.33,105.07,107.94,789122224
1980-01-31,107.94,117.17,103.26,114.16,1286933332
1980-02-29,114.16,120.22,111.33,113.66,1062811113
1980-03-31,113.66,114.34,94.23,102.09,973833332
1980-04-30,102.09,106.79,98.95,106.29,749044444
1980-05-30,106.29,112.72,103.5,111.24,849911111
1980-06-30,111.24,117.98,109.77,114.24,921844444
1980-07-31,114.24,123.93,113.54,121.67,1135300002
1980-08-29,121.67,127.78,119.42,122.38,1072955556
1980-09-30,122.38,132.17,121.79,125.46,1175233333
1980-10-31,125.46,135.88,124.66,127.47,1146433334
1980-11-28,127.47,141.96,127.23,140.52,1097899998
1980-12-31,140.52,140.66,125.32,135.76,1139611112
1981-01-30,135.76,140.32,128.57,129.55,1061688895
1981-02-27,129.48,132.02,124.66,131.27,907011115
1981-03-31,131.27,138.38,128.56,136,1305033332
1981-04-30,136,137.72,131.58,132.81,1248300001
1981-05-29,132.81,134.92,128.78,132.59,1006033330
1981-06-30,132.59,135.67,128.77,131.21,1223299999
1981-07-31,131.21,131.78,125.96,130.92,1059966665
1981-08-31,130.92,135.18,122.29,122.79,1022833332
1981-09-30,122.79,124.58,110.19,116.18,1065711110
1981-10-30,116.18,123.28,115,121.89,1108400000
1981-11-30,122.35,126.97,119.13,126.35,1097688889
1981-12-31,126.35,127.32,121.04,122.55,1066077778
1982-01-29,122.55,123.72,113.63,120.4,1075933333
1982-02-26,119.81,119.81,110.03,113.11,1080211112
1982-03-31,113.11,114.8,104.46,111.96,1409655553
1982-04-30,111.96,119.33,111.48,116.44,1262766666
1982-05-31,115.96,119.92,111.66,111.88,1140511111
1982-06-30,111.97,112.48,107.01,109.61,1233922222
1982-07-30,109.52,112.39,105.57,107.09,1272433332
1982-08-31,107.71,120.26,102.2,119.51,1858633353
1982-09-30,119.52,126.43,117.84,120.42,1720044431
1982-10-29,120.4,140.4,120.15,133.72,2298400016
1982-11-30,133.72,144.36,132.89,138.53,2063377766
1982-12-31,138.56,143.68,134.79,140.64,1868977778
1983-01-31,140.65,148.36,138.08,145.3,2064000029
1983-02-28,145.29,150.88,141.9,148.06,1794944444
1983-03-31,148.07,155.02,148.07,152.96,2113244457
1983-04-29,152.92,164.43,150.17,164.43,1985411111
1983-05-31,164.41,166.99,160.29,162.39,2170144455
1983-06-30,162.38,171.6,160.8,167.64,2193177753
1983-07-29,168.11,170.72,161.5,162.56,1766855557
1983-08-31,162.34,165.91,158.5,164.4,1896033327
1983-09-30,164.4,170.41,163.95,166.07,1933122232
1983-10-31,165.99,172.65,162.86,163.55,1994022193
1983-11-30,163.55,168.07,161.63,166.4,2016233337
1983-12-30,166.37,166.77,161.58,164.93,2054288898
1984-01-31,164.93,169.54,162.03,163.41,2461844425
1984-02-29,163.41,164,152.13,157.06,2147566684
1984-03-30,157.06,160.46,153.77,159.18,2061022210
1984-04-30,159.18,160.69,154.12,160.05,1908366662
1984-05-31,160.05,162.11,148.68,150.55,2155055537
1984-06-29,150.55,155.64,148.53,153.18,2014300011
1984-07-31,153.16,153.87,147.26,150.66,1846888889
1984-08-31,150.66,168.8,150.66,166.68,2807688907
1984-09-28,166.68,169.65,163.06,166.1,1965177773
1984-10-31,166.1,169.62,160.02,166.09,2344700006
1984-11-30,166.09,170.41,162.99,163.58,1952533333
1984-12-31,163.58,169.03,161.54,167.24,1978888896
1985-01-31,167.2,180.27,163.36,179.63,2970788881
1985-02-28,179.63,183.95,177.75,181.18,2438466666
1985-03-29,181.18,183.89,176.53,180.66,2392322235
1985-04-30,180.66,183.61,177.86,179.83,2202088888
1985-05-31,179.83,189.98,178.35,189.55,2611488885
1985-06-28,189.55,191.85,185.03,191.85,2352222228
1985-07-31,191.85,196.07,189.3,190.92,2736744451
1985-08-30,190.92,192.17,186.1,188.63,2136888884
1985-09-30,188.63,188.8,179.45,182.08,2066844444
1985-10-31,182.06,190.15,181.16,189.82,2825822225
1985-11-29,189.82,203.4,189.37,202.17,2717077774
1985-12-31,202.17,213.08,200.1,211.28,3115977782
1986-01-31,211.28,214.57,202.6,211.78,3198899995
1986-02-28,211.78,227.92,210.82,226.92,3221222245
1986-03-31,226.92,240.11,222.18,238.9,3571777754
1986-04-30,238.9,245.47,226.3,235.52,3600444444
1986-05-30,235.52,249.19,232.26,247.35,2978044445
1986-06-30,246.04,251.81,238.23,250.84,2944000001
1986-07-31,250.67,253.2,233.07,236.12,3366555555
1986-08-29,236.12,254.24,231.92,252.93,3002111110
1986-09-30,252.93,254.13,228.08,231.32,3518111123
1986-10-31,231.32,244.51,231.32,243.98,3351933334
1986-11-28,243.97,249.22,235.51,249.22,3267588909
1986-12-31,249.22,254.87,241.28,242.17,3623188883
1987-01-30,242.17,280.96,242.17,274.08,4489866668
1987-02-27,274.08,287.55,273.16,284.2,3872555566
1987-03-31,284.17,302.72,282.3,291.7,4405666668
1987-04-30,291.59,303.65,275.67,288.36,4368555544
1987-05-29,286.99,298.69,277.01,290.1,3797444445
1987-06-30,290.12,310.27,286.93,304,3994444442
1987-07-31,303.99,318.85,302.53,318.66,4407111062
1987-08-31,318.62,337.89,314.51,329.8,4513777765
1987-09-30,329.81,332.18,308.56,321.83,4136888877
1987-10-30,321.83,328.94,216.46,251.79,6771666678
1987-11-30,251.73,257.21,225.75,230.3,3988366686
1987-12-31,230.32,253.35,221.24,247.08,4363055525
1988-01-29,247.1,261.78,240.17,257.07,3883000034
1988-02-29,257.05,267.82,247.82,267.82,4103600000
1988-03-31,267.82,272.64,256.07,258.89,4503300008
1988-04-29,258.89,272.05,254.71,261.33,3623066679
1988-05-31,261.36,263.7,248.85,262.16,3590411104
1988-06-30,262.16,276.88,262.1,273.5,4785233316
