Date,Open,High,Low,Close,Volume
1975-06-30,83.36,95.85,79.66,95.19,1506488890
1975-09-30,95.19,96.58,81.57,83.87,1109188886
1975-12-31,83.87,92.33,82.57,90.19,1148133334
1976-03-31,90.19,104.39,89.81,102.77,1957288888
1976-06-30,102.77,105.07,97.97,104.28,1294888890
1976-09-30,104.28,108.72,100.43,105.24,1283544444
1976-12-31,105.24,107.82,98.18,107.46,1418844444
1977-03-31,107.46,107.97,97.8,98.42,1483055554
1977-06-30,98.42,102.07,95.52,100.48,1460033337
1977-09-30,100.48,102.57,94.44,96.53,1410888893
1977-12-30,96.53,97.27,90.01,95.1,1510133333
1978-03-31,95.1,95.15,86.45,89.21,1438133333
1978-06-30,89.2,101.84,88.07,95.53,2375155555
1978-09-29,95.53,108.05,93.59,102.54,2309700000
1978-12-29,102.54,106.23,91.65,96.11,1877100002
1979-03-30,96.11,103.31,95.22,101.59,1934711112
1979-06-29,101.56,103.95,97.49,102.91,2200111113
1979-09-28,102.91,111.58,100.35,109.32,2466366669
1979-12-31,109.19,112.16,99.06,107.94,2468655559
1980-03-31,107.94,120.22,94.23,102.09,3323577777
1980-06-30,102.09,117.98,98.95,114.24,2520799999
1980-09-30,114.24,132.17,113.54,125.46,3383488891
1980-12-31,125.46,141.96,124.66,135.76,3383944444
1981-03-31,135.76,140.32,124.66,136,3273733342
1981-06-30,136,137.72,128.77,131.21,3477633330
1981-09-30,131.21,135.18,110.19,116.18,3148511107
1981-12-31,116.18,127.32,115,122.55,3272166667
1982-03-31,122.55,123.72,104.46,111.96,3565799998
1982-06-30,111.96,119.92,107.01,109.61,3637199999
1982-09-30,109.52,126.43,102.2,120.42,4851111116
1982-12-31,120.4,144.36,120.15,140.64,6230755560
1983-03-31,140.65,155.02,138.08,152.96,5972188930
1983-06-30,152.92,171.6,150.17,167.64,6348733319
1983-09-30,168.11,170.72,158.5,166.07,5596011116
1983-12-30,165.99,172.65,161.58,164.93,6064544428
1984-03-30,164.93,169.54,152.13,159.18,6670433319
1984-06-29,159.18,162.11,148.53,153.18,6077722210
1984-09-28,153.16,169.65,147.26,166.1,6619755569
1984-12-31,166.1,170.41,160.02,167.24,6276122235
1985-03-29,167.2,183.95,163.36,180.66,7801577782
1985-06-28,180.66,191.85,177.86,191.85,7165800001
1985-09-30,191.85,196.07,179.45,182.08,6940477779
1985-12-31,182.06,213.08,181.16,211.28,8658877781
1986-03-31,211.28,240.11,202.6,238.9,9991899994
1986-06-30,238.9,251.81,226.3,250.84,9522488890
1986-09-30,250.67,254.24,228.08,231.32,9886777788
1986-12-31,231.32,254.87,231.32,242.17,10242711126
1987-03-31,242.17,302.72,242.17,291.7,12768088902
1987-06-30,291.59,310.27,275.67,304,12160444431
1987-09-30,303.99,337.89,302.53,321.83,13057777704
1987-12-31,321.83,328.94,216.46,247.08,15123088889
1988-03-31,247.1,272.64,240.17,258.89,12489900042
1988-06-30,258.89,276.88,248.85,273.5,11998711099
1988-09-30,273.5,276.36,256.53,271.91,10805988917
1988-12-30,271.89,283.95,262.85,277.72,10092088888
1989-03-31,277.72,300.57,273.81,294.87,11392255549
1989-06-30,294.87,329.19,294.35,317.98,12167955590
1989-09-29,317.98,354.13,317.26,349.15,11370166655
1989-12-29,349.15,360.44,327.12,353.4,11398055542
1990-03-30,353.4,360.59,319.83,339.94,11153888819
1990-06-29,339.94,368.78,327.76,358.02,10693533405
1990-09-28,358.02,369.78,295.98,306.05,11201722208
1990-12-31,306.1,333.98,294.51,330.22,11042777743
1991-03-29,330.2,379.66,309.35,375.22,13212588835
1991-06-28,375.22,391.26,365.83,371.16,12239588908
1991-09-30,371.18,397.62,370.92,387.86,11618200030
1991-12-31,387.86,418.32,371.36,417.09,13305900012
1992-03-31,417.03,421.18,401.94,403.69,15133477747
1992-06-30,403.67,418.75,392.41,408.14,13577388933
1992-09-30,408.2,425.27,407.2,417.8,13269877786
1992-12-31,417.8,442.65,396.8,435.71,15035477724
1993-03-31,435.7,456.76,426.88,451.67,18322499983
1993-06-30,451.67,455.63,432.3,450.53,18340233314
1993-09-30,450.54,463.8,441.4,458.93,18186055495
1993-12-31,458.93,471.29,454.36,466.45,19564755611
1994-03-31,466.51,482.85,436.16,445.77,21894999941
1994-06-30,445.66,463.23,435.86,444.27,19181833174
1994-09-30,444.27,477.59,443.58,462.71,19479688914
1994-12-30,462.69,474.74,442.88,459.27,21052744509
1995-03-31,459.21,508.15,457.2,500.71,23305066787
1995-06-30,500.7,551.07,500.2,544.75,23798188965
1995-09-29,544.75,587.61,542.51,584.41,23897122335
1995-12-29,584.41,622.88,571.55,615.93,25936677807
1996-03-29,615.93,664.23,597.29,645.5,29913566746
1996-06-28,645.5,681.1,624.14,670.63,28586177755
1996-09-30,670.63,690.88,605.88,687.33,26993611334
1996-12-31,687.31,762.12,684.44,740.74,30618544489
1997-03-31,740.74,817.68,729.55,757.12,34969466782
1997-06-30,757.12,902.09,733.54,885.14,34910533310
1997-09-30,885.14,964.17,884.54,947.28,37719133296
1997-12-31,947.28,986.25,855.27,970.43,40166400035
1998-03-31,970.43,1113.07,912.83,1101.75,42344411023
1998-06-30,1101.75,1145.15,1074.39,1133.84,42983522418
1998-09-30,1133.84,1190.58,939.98,1017.01,51089366949
1998-12-31,1017.01,1244.93,923.32,1229.23,51815977552
1999-03-31,1229.23,1323.82,1205.46,1286.37,54190955613
1999-06-30,1286.37,1375.98,1277.31,1372.71,56091811081
1999-09-30,1372.71,1420.33,1256.26,1282.71,52877977599
1999-12-31,1282.71,1473.13,1233.7,1469.25,63175011195
2000-03-31,1477.87,1553.1,1325.02,1498.58,76180666501
2000-06-30,1490.23,1527.13,1339.33,1454.6,68603399962
2000-09-29,1452.36,1530.03,1414.17,1436.51,66990111003
2000-12-29,1443.56,1454.57,1254.19,1320.28,77882777791
2001-03-30,1321.62,1383.37,1081.19,1160.33,85867567027
2001-06-29,1160.09,1315.89,1092.06,1224.79,82982132716
2001-09-28,1225.54,1239.74,944.07,1040.17,80198000022
2001-12-31,1039.3,1173.34,1026.03,1148.08,90455388065
2002-03-29,1148.08,1176.97,1074.36,1147.39,91507778370
2002-06-28,1147.39,1147.84,952.92,989.82,94600897612
2002-09-30,989.82,994.46,775.68,815.28,108929077950
2002-12-31,815.28,954.4,768.58,879.82,103099513503
2003-03-31,881.69,935.11,788.9,848.18,95627677676
2003-06-30,849.17,1015.33,847.81,974.5,99518226011
2003-09-30,973.83,1040.18,960.84,995.97,79186698425
2003-12-31,997.12,1112.52,997.12,1111.92,77839971484
2004-03-31,1112.61,1163.09,1087.48,1126.21,86299675307
2004-06-30,1126.21,1150.57,1076.39,1140.84,76943958470
2004-09-30,1140.84,1140.84,1060.74,1114.58,74643589499
2004-12-31,1114.58,1217.33,1090.23,1211.92,84483499945
2005-03-31,1213.43,1229.11,1163.69,1180.59,87113200927
2005-06-30,1181.44,1219.59,1136.22,1191.33,85179637949
2005-09-30,1191.33,1245.86,1183.55,1228.81,81525283273
2005-12-30,1228.81,1275.8,1168.2,1248.29,87779974448
2006-03-31,1252.03,1310.88,1245.74,1294.81,95678466986
2006-06-30,1302.88,1326.7,1219.29,1270.2,99742354304
2006-09-29,1270.93,1340.28,1224.54,1335.85,81869717568
2006-12-29,1335.56,1431.81,1327.1,1418.3,75647267008
2007-03-30,1418.03,1461.56,1364.14,1420.86,78746972480
2007-06-29,1420.83,1540.56,1416.37,1503.35,79725689408
2007-09-28,1503.35,1555.9,1370.6,1526.75,84744175616
2007-12-31,1526.75,1576.09,1406.1,1468.36,76033145728
2008-03-31,1468.36,1471.77,1256.98,1322.7,91902851456
2008-06-30,1322.7,1440.24,1272,1280,71185083520
2008-09-30,1280,1313.15,1106.39,1166.36,78801348480
2008-12-31,1166.36,1167.03,741.02,903.25,85607146080
2009-03-31,903.25,943.85,666.79,797.87,86337286336
2009-06-30,797.87,956.23,783.32,919.32,78342398592
2009-09-30,919.32,1080.15,869.32,1057.08,68494829504
2009-12-31,1057.08,1130.38,1020.18,1115.1,63037310816
2010-03-31,1115.1,1180.69,1044.5,1169.43,59569060480
2010-06-30,1171.23,1219.8,1028.33,1030.71,72497620480
2010-09-30,1031.1,1157.16,1010.91,1141.2,56595078464
2010-12-31,1143.49,1262.6,1131.87,1257.64,51169885408
2011-03-31,1257.62,1344.07,1249.05,1325.83,50825023488
2011-06-30,1329.48,1370.58,1258.07,1320.64,47093100032
2011-09-30,1320.64,1356.48,1101.54,1131.42,59199647936
2011-12-30,1131.21,1292.66,1074.77,1257.6,45953497632
2012-03-30,1258.86,1419.15,1258.86,1408.47,38886218144
2012-06-29,1408.47,1422.38,1266.74,1362.16,40220959648
2012-09-28,1362.33,1474.51,1325.41,1440.67,34286773568
2012-12-31,1440.9,1470.96,1343.35,1426.19,33870752112
2013-03-29,1426.19,1570.28,1426.19,1569.19,32945601984
2013-06-28,1569.18,1687.18,1536.03,1606.28,36336258752
2013-09-30,1609.78,1729.86,1604.57,1681.55,31458769920
2013-12-31,1682.41,1849.44,1646.47,1848.36,31915761536
2014-03-31,1845.86,1883.97,1737.92,1872.34,34008153024
2014-06-30,1873.96,1968.17,1814.36,1960.23,31580657792
2014-09-30,1962.29,2019.26,1904.78,1972.29,29256929120
2014-12-31,1971.44,2093.55,1820.66,2058.9,35664095584
2015-03-31,2058.9,2119.59,1980.9,2067.89,35434503136
2015-06-30,2067.63,2134.72,2048.38,2063.11,33682870048
2015-09-30,2067,2132.82,1867.01,1920.03,41999292448
2015-12-31,1919.65,2116.48,1893.7,2043.94,40389847184
2016-03-31,2038.2,2072.21,1810.1,2059.74,46758490048
2016-06-30,2056.62,2120.55,1991.68,2098.86,40353551680
2016-09-30,2099.34,2193.81,2074.02,2168.27,35117964960
2016-12-30,2164.33,2277.53,2083.79,2238.83,37205591168
2017-03-31,2251.57,2400.98,2245.13,2362.72,35168601696
2017-06-30,2362.34,2453.82,2328.95,2423.41,34911582848
2017-09-29,2431.39,2519.44,2407.7,2519.36,32362973472
2017-12-29,2521.2,2694.97,2520.4,2673.61,33262920320
2018-03-30,2683.73,2872.87,2532.69,2640.87,39829750176
2018-06-29,2633.45,2717.49,2553.8,2663.42,13215050432
