Date,Open,High,Low,Close,Volume
1975-05-02,86.62,89.98,85,89.22,110577778
1975-05-09,89.22,91.24,87.6,90.53,134944444
1975-05-16,90.53,93.51,89.74,90.43,134144445
1975-05-23,90.43,91.45,88.35,90.58,99222223
1975-05-30,90.58,91.62,88.83,91.15,89044444
1975-06-06,91.32,93.76,91.32,92.48,137266667
1975-06-13,92.48,92.87,89.3,90.52,102555556
1975-06-20,90.52,93.75,89.6,92.61,110444444
1975-06-27,92.61,95.72,91.81,94.81,124811111
1975-07-04,94.81,95.85,93.37,94.36,85944445
1975-07-11,94.36,96.19,92.51,94.66,124755556
1975-07-18,94.66,96.58,92.39,93.2,126422222
1975-07-25,93.2,93.93,88.72,89.29,103511111
1975-08-01,89.29,90.07,87.46,87.99,86511111
1975-08-08,87.99,88.17,85.34,86.02,76022223
1975-08-15,86.02,88.17,85.02,86.36,68811110
1975-08-22,86.36,87.21,82.21,84.28,82322223
1975-08-29,84.28,87.73,83.35,86.88,70788888
1975-09-05,86.88,87.42,84.62,85.62,53566666
1975-09-12,85.62,86.73,82.84,83.3,72666666
1975-09-19,83.3,86.39,81.57,85.88,77044443
1975-09-26,85.88,86.86,83.8,86.19,76744444
1975-10-03,86.19,86.38,82.57,85.95,75355556
1975-10-10,85.98,89.42,85.56,88.21,88277777
1975-10-17,88.21,90.8,87.73,88.86,89977778
1975-10-24,88.86,91.75,88.43,89.83,95699999
1975-10-31,89.83,91.01,88.35,89.04,82511112
1975-11-07,89.04,90.18,87.63,89.33,83211112
1975-11-14,89.33,92.33,88.35,90.97,105600001
1975-11-21,90.97,92.3,88.79,89.53,95344445
1975-11-28,89.53,91.74,88.65,91.24,70077778
1975-12-05,91.24,91.9,86.54,86.82,95255555
1975-12-12,86.82,88.79,86.15,87.83,82522222
1975-12-19,87.83,90.09,87.32,88.8,94033333
1975-12-26,88.8,90.45,87.64,90.25,60288888
1976-01-02,90.25,91.18,89.17,90.9,67088889
1976-01-09,90.9,95.71,90.85,94.95,157711112
1976-01-16,94.95,98.34,94.38,97,177444444
1976-01-23,97,99.88,96.36,99.21,179633334
1976-01-30,99.21,101.99,97.66,100.86,180244444
1976-02-06,100.86,102.57,98.64,99.46,174988889
1976-02-13,99.46,101.8,98.77,99.67,153088889
1976-02-20,99.67,103.07,98.5,102.1,154533334
1976-02-27,102.1,102.92,98.6,99.71,179755555
1976-03-05,99.71,101.26,98.23,99.11,133944444
1976-03-12,99.11,102.46,98.93,100.86,150055555
1976-03-19,100.86,102.01,99.24,100.58,118844444
1976-03-26,100.58,104.39,100.14,102.85,128322222
1976-04-02,102.85,103.36,101.23,102.25,96533334
1976-04-09,102.32,104.63,99.87,100.35,118011112
1976-04-16,100.35,101.77,99.57,100.67,72844445
1976-04-23,100.67,104.04,100.32,102.29,115355556
1976-04-30,102.29,103.18,100.91,101.64,90377776
1976-05-07,101.64,102.27,100.14,101.88,90444445
1976-05-14,101.88,103.99,100.82,101.34,109322223
1976-05-21,101.34,102.53,100.41,101.26,102077778
1976-05-28,101.07,101.07,98.26,100.18,93611111
1976-06-04,100.18,101.1,98.79,99.15,72066666
1976-06-11,99.15,101.22,97.97,100.92,90333333
1976-06-18,101,104.8,100.84,103.76,127600000
1976-06-25,103.76,104.82,102.4,103.72,105877778
1976-07-02,103.72,105.07,102.95,104.11,109777778
1976-07-09,104.11,105.41,102.8,104.98,88677777
1976-07-16,104.98,106.78,103.87,104.68,128877778
1976-07-23,104.68,105.32,103.05,104.06,96477777
1976-07-30,104.06,104.69,102.31,103.44,81411111
1976-08-06,103.44,105.18,102.64,103.79,91644445
1976-08-13,103.79,105.24,103.01,104.25,85100000
1976-08-20,104.25,105.41,101.96,102.37,93344445
1976-08-27,102.37,102.65,100.43,101.48,85533334
1976-09-03,101.48,104.84,101.22,104.3,86066667
1976-09-10,104.3,105.73,103.79,104.65,77255555
1976-09-17,104.65,106.81,103.28,106.27,107900000
1976-09-24,106.27,108.72,105.74,106.8,140677777
1976-10-01,106.8,107.7,103.6,104.17,101422222
1976-10-08,104.17,104.62,102.05,102.56,99188888
1976-10-15,102.48,102.48,100.02,100.88,99266666
1976-10-22,100.88,102.32,99.24,99.96,92911112
1976-10-29,99.96,103.1,99.21,102.9,87266666
1976-11-05,102.9,103.78,100.48,100.82,89133333
1976-11-12,100.62,100.62,98.18,99.24,92666667
1976-11-19,99.24,102.77,98.53,101.92,117977779
1976-11-26,101.92,103.51,101.41,103.15,83822223
1976-12-03,103.15,103.46,101.46,102.76,115200000
1976-12-10,102.76,105.36,102.53,104.7,148099999
1976-12-17,104.7,105.89,103.8,104.26,140055555
1976-12-24,104.26,105.59,102.99,104.84,107344445
1976-12-31,104.84,107.82,104.58,107.46,123000000
1977-01-07,107.46,107.97,104.3,105.01,127411111
1977-01-14,105.01,105.75,102.75,104.01,129877778
1977-01-21,104.01,104.45,102.35,103.32,136677778
1977-01-28,103.32,104.08,101.08,101.93,137922222
1977-02-04,101.93,103.32,100.91,101.88,132488889
1977-02-11,101.88,102.65,99.74,100.22,123588889
1977-02-18,100.22,102.22,99.51,100.49,112622222
1977-02-25,100.49,101.22,98.82,99.48,81455556
1977-03-04,99.48,101.67,98.91,101.2,100244444
1977-03-11,101.2,101.85,99.49,100.65,103844445
1977-03-18,100.65,102.7,100.24,101.86,117677777
1977-03-25,101.86,102.13,98.71,99.06,102511110
1977-04-01,99.06,100.12,97.8,99.21,95677777
1977-04-08,99.21,99.5,97.43,98.35,76044445
1977-04-15,98.35,102.07,98.08,101.04,126588889
1977-04-22,101.04,101.36,98.08,98.44,117633334
1977-04-29,98.32,98.87,96.53,98.44,108633334
1977-05-06,98.44,100.79,97.97,99.49,117855556
1977-05-13,99.49,100.09,97.91,99.03,107844444
1977-05-20,99.03,100.93,98.76,99.45,123877778
1977-05-27,99.35,99.35,95.92,96.27,103777778
1977-06-03,96.27,98.12,95.52,97.69,83411112
1977-06-10,97.69,98.86,96.6,98.46,114233334
1977-06-17,98.46,100.47,98.06,99.97,127277778
1977-06-24,99.97,101.65,99.56,101.19,143966666
1977-07-01,101.19,101.63,99.3,100.1,110122223
1977-07-08,100.1,100.72,99.12,99.79,92933334
1977-07-15,99.79,100.68,98.81,100.18,105044445
1977-07-22,100.18,102.57,99.94,101.67,156877778
1977-07-29,101.67,101.85,97.71,98.85,127722223
1977-08-05,98.85,99.84,97.53,98.76,107055556
1977-08-12,98.76,99.45,97.31,97.88,102955555
1977-08-19,97.88,98.69,96.78,97.51,108722222
1977-08-26,97.51,98.52,95.04,96.06,104677778
1977-09-02,96.06,97.76,95.59,97.45,96688889
1977-09-09,97.45,98.43,95.97,96.37,78433333
1977-09-16,96.37,97.31,95.37,96.48,97222224
1977-09-23,96.48,96.59,94.51,95.04,103933333
1977-09-30,95.04,96.85,94.44,96.53,108444445
1977-10-07,96.53,97.27,95.2,95.97,103722222
1977-10-14,95.97,96.15,92.88,93.56,105744445
1977-10-21,93.56,94.19,91.6,92.32,111388890
1977-10-28,92.32,93.15,90.2,92.61,119588889
1977-11-04,92.61,93.03,90.01,91.58,105322223
1977-11-11,91.58,96.49,91.32,95.98,143388888
1977-11-18,95.98,96.47,94.59,95.33,138833333
1977-11-25,95.33,97.11,94.59,96.69,106411111
1977-12-02,96.69,96.98,93.78,94.67,125077778
1977-12-09,94.67,95.01,92.15,93.65,115100000
1977-12-16,93.65,94.42,92.9,93.4,112622222
1977-12-23,93.4,94.99,91.76,94.69,130099999
1977-12-30,94.69,95.67,93.99,95.1,92833333
1978-01-06,95.1,95.15,91.05,91.62,101700001
1978-01-13,91.48,91.48,89.23,89.69,129766667
1978-01-20,89.69,91.04,88.88,89.89,98433333
1978-01-27,89.89,90.08,88.02,88.58,104400001
1978-02-03,88.58,90.91,88.26,89.62,113288889
1978-02-10,89.62,91.32,88.95,90.08,94533333
1978-02-17,90.08,90.3,87.55,87.96,108355556
1978-02-24,87.96,88.87,86.83,88.49,90633333
1978-03-03,88.49,88.97,86.45,87.45,112388888
1978-03-10,87.45,89.25,86.48,88.88,120077777
1978-03-17,88.88,90.52,88.21,90.2,139533332
1978-03-24,90.2,91.35,88.83,89.36,106677778
1978-03-31,89.36,90.17,88.47,89.21,118344445
1978-04-07,89.2,90.59,88.07,90.17,133488890
1978-04-14,90.17,93.31,89.65,92.92,177900000
1978-04-21,93.6,95.89,92.75,94.34,235877778
1978-04-28,94.34,97.91,94.08,96.83,225622222
1978-05-05,96.83,98.3,94.57,96.53,217977777
1978-05-12,96.53,98.89,95.33,98.07,202333333
1978-05-19,98.07,100.32,97.4,98.12,226866667
1978-05-26,98.12,99.43,96.01,96.58,159088889
1978-06-02,96.58,98.52,95.95,98.14,123022222
1978-06-09,98.14,101.84,97.97,99.93,218288889
1978-06-16,99.93,100.68,97.1,97.42,166066667
1978-06-23,97.42,97.94,95.42,95.85,153566666
1978-06-30,95.85,96.26,93.99,95.53,135055555
1978-07-07,95.53,95.65,93.59,94.89,93066667
1978-07-14,94.89,97.88,94.28,97.58,142855555
1978-07-21,97.58,99.18,96.52,97.75,158111112
1978-07-28,97.75,100.51,96.72,100,169855555
1978-08-04,100,105.41,99.37,103.92,245055555
1978-08-11,103.92,105.72,102.6,103.96,210833334
1978-08-18,103.96,106.27,102.86,104.73,197911111
1978-08-25,104.73,105.86,103.14,104.9,192644444
1978-09-01,104.9,105.14,102.63,103.68,191344444
1978-09-08,103.68,107.19,103.31,106.79,174722222
1978-09-15,106.79,108.05,103.56,104.12,213444445
1978-09-22,104.12,105.03,100.66,101.84,182444445
1978-09-29,101.84,103.44,100.94,102.54,137411111
1978-10-06,102.54,104.23,101.76,103.52,135033333
1978-10-13,103.52,106.23,103.31,104.66,132244445
1978-10-20,104.63,104.63,97.12,97.95,189877777
1978-10-27,97.95,98.95,94.3,94.59,187444444
1978-11-03,94.59,97.41,91.65,96.18,244077779
1978-11-10,96.18,96.49,92.89,94.77,121555555
1978-11-17,94.77,95.03,91.77,94.42,138177778
1978-11-24,94.42,96.17,94.29,95.79,88655556
1978-12-01,95.79,96.69,93.29,96.28,122688889
1978-12-08,96.28,98.58,95.37,96.63,130111111
1978-12-15,96.63,97.58,94.88,95.33,122388889
1978-12-22,94.33,96.62,92.64,96.31,153155556
1978-12-29,96.31,97.89,95.48,96.11,111688890
1979-01-05,96.11,99.79,95.22,99.13,121888889
1979-01-12,99.13,100.91,97.83,99.93,150522222
1979-01-19,99.93,101.13,98.33,99.75,152477778
1979-01-26,99.75,102.59,98.9,101.86,168800000
1979-02-02,101.86,102.33,99.01,99.5,149655556
1979-02-09,99.07,99.07,96.51,97.87,140211111
1979-02-16,97.87,99.64,97.05,98.67,133288889
1979-02-23,98.67,100.07,97.29,97.78,107888889
1979-03-02,97.78,98.28,95.38,96.97,140155556
1979-03-09,97.03,100.58,97.03,99.54,160577777
1979-03-16,99.54,101.16,98.56,100.69,158533333
1979-03-23,100.69,102.41,99.87,101.6,178744445
1979-03-30,101.6,103.31,100.6,101.59,171966667
1979-04-06,101.56,103.95,100.14,103.18,192988890
1979-04-13,103.18,103.83,101.51,102,132011112
1979-04-20,102,102.4,100.46,101.23,163111111
1979-04-27,101.23,103.07,100.68,101.8,172122223
1979-05-04,101.8,102.57,100.42,100.69,166100000
1979-05-11,100.37,100.37,97.92,98.52,155677778
1979-05-18,98.52,100.73,97.49,99.93,149033332
1979-05-25,99.93,101.31,99.14,100.22,155400001
1979-06-01,100.22,100.76,98.29,99.17,123500000
1979-06-08,99.17,102.54,98.61,101.49,193077778
1979-06-15,101.49,103.64,100.91,102.09,214500001
1979-06-22,102.09,103.16,100.91,102.64,187155555
1979-06-29,102.64,103.67,101.22,102.91,195433332
1979-07-06,102.91,103.91,101.31,103.62,147322223
1979-07-13,103.62,105.17,101.49,102.32,204111111
1979-07-20,102.32,103.2,100.35,101.82,166644445
1979-07-27,101.82,103.63,100.84,103.1,168300000
1979-08-03,103.1,105.02,102.42,104.04,183833333
1979-08-10,104.04,106.84,103.27,106.4,209933334
1979-08-17,106.4,109.18,106.28,108.3,230722222
1979-08-24,108.3,109.68,107.65,108.6,197833334
1979-08-31,108.6,109.84,108.12,109.32,164400000
1979-09-07,109.32,109.41,105.38,107.66,155211112
1979-09-14,107.66,109.48,106.72,108.76,213422222
1979-09-21,108.76,111.58,107.32,110.47,232455556
1979-09-28,110.47,111.25,108.27,109.32,192177777
1979-10-05,109.19,112.16,107.7,111.27,207566667
1979-10-12,111.27,111.83,102.31,104.49,281899999
1979-10-19,104.49,104.74,101.24,101.6,189211110
1979-10-26,101.38,101.45,99.06,100.57,186366668
1979-11-02,100.57,103.21,100.13,102.51,143266667
1979-11-09,102.51,102.66,99.42,101.51,143988889
1979-11-16,101.51,104.94,101.27,103.79,165877778
1979-11-23,103.79,105.13,102.04,104.67,142688889
1979-11-30,104.83,107.89,104.83,106.16,218666668
1979-12-07,106.16,109.24,105.07,107.52,201911112
1979-12-14,107.52,109.49,106.65,108.92,201722223
1979-12-21,108.92,110.33,106.99,107.59,228288889
1979-12-28,107.59,108.61,106.8,107.84,122166667
1980-01-04,107.84,108.53,103.26,106.52,179722222
1980-01-11,106.52,111.16,105.8,109.92,302244444
1980-01-18,109.92,112.9,109.34,111.07,304744444
1980-01-25,111.07,115.27,110.66,113.61,283955555
1980-02-01,113.61,117.17,112.93,115.12,303088889
1980-02-08,115.12,118.66,112.15,117.95,280500000
1980-02-15,117.95,120.22,114.12,115.41,299111112
1980-02-22,115.41,117.9,113.35,115.04,203955557
1980-02-29,114.93,115.12,111.33,113.66,227455555
1980-03-07,113.66,114.34,105.99,106.9,258666666
1980-03-14,106.9,108.54,104.01,105.43,212599999
