Date,Open,High,Low,Close,Volume
1970-12-31,92.06,94.25,68.61,92.15,3274144449
1971-12-31,92.15,105.6,89.34,102.09,4327488891
1972-12-29,102.09,119.79,100.87,118.05,4597077777
1973-12-31,118.06,121.74,91.05,97.55,4508644442
1974-12-31,97.55,101.05,60.96,68.56,3908444450
1975-12-31,68.65,96.58,68.65,90.19,5219144446
1976-12-31,90.19,108.72,89.81,107.46,5954566666
1977-12-30,107.46,107.97,90.01,95.1,5864111117
1978-12-29,95.1,108.05,86.45,96.11,8000088890
1979-12-31,96.11,112.16,95.22,107.94,9069844453
1980-12-31,107.94,141.96,94.23,135.76,12611811111
1981-12-31,135.76,140.32,110.19,122.55,13172044446
1982-12-31,122.55,144.36,102.2,140.64,18284866673
1983-12-30,140.65,172.65,138.08,164.93,23981477793
1984-12-31,164.93,170.41,147.26,167.24,25644033333
1985-12-31,167.2,213.08,163.36,211.28,30566733343
1986-12-31,211.28,254.87,202.6,242.17,39643877798
1987-12-31,242.17,337.89,216.46,247.08,53109399926
1988-12-30,247.1,283.95,240.17,277.72,45386688946
1989-12-29,277.72,360.44,273.81,353.4,46328433336
1990-12-31,353.4,369.78,294.51,330.22,44091922175
1991-12-31,330.2,418.32,309.35,417.09,50376277785
1992-12-31,417.03,442.65,392.41,435.71,57016222190
1993-12-31,435.7,471.29,426.88,466.45,74413544403
1994-12-30,466.51,482.85,435.86,459.27,81609266538
1995-12-29,459.21,622.88,457.2,615.93,96937055894
1996-12-31,615.93,762.12,597.29,740.74,116111900324
1997-12-31,740.74,986.25,729.55,970.43,147765533423
1998-12-31,970.43,1244.93,912.83,1229.23,188233277942
1999-12-31,1229.23,1473.13,1205.46,1469.25,226335755488
2000-12-29,1477.87,1553.1,1254.19,1320.28,289656955257
2001-12-31,1321.62,1383.37,944.07,1148.08,339503087830
2002-12-31,1148.08,1176.97,768.58,879.82,398137267435
2003-12-31,881.69,1112.52,788.9,1111.92,352172573596
2004-12-31,1112.61,1217.33,1060.74,1211.92,322370723221
2005-12-30,1213.43,1275.8,1136.22,1248.29,341598096597
2006-12-29,1252.03,1431.81,1219.29,1418.3,352937805866
2007-12-31,1418.03,1576.09,1364.14,1468.36,319249983232
2008-12-31,1468.36,1471.77,741.02,903.25,327496429536
2009-12-31,903.25,1130.38,666.79,1115.1,296211825248
2010-12-31,1115.1,1262.6,1010.91,1257.64,239831644832
2011-12-30,1257.62,1370.58,1074.77,1257.6,203071269088
2012-12-31,1258.86,1474.51,1258.86,1426.19,147264703472
2013-12-31,1426.19,1849.44,1426.19,1848.36,132656392192
2014-12-31,1845.86,2093.55,1737.92,2058.9,130509835520
2015-12-31,2058.9,2134.72,1867.01,2043.94,151506512816
2016-12-30,2038.2,2277.53,1810.1,2238.83,158776392416
2017-12-29,2251.57,2557.62,2245.13,2553.17,105208174144
