Date,Open,High,Low,Close
1900-12-31,4.885,4.895,4.85,4.86
1901-12-31,4.86,4.895,4.86,4.875
1902-12-31,4.875,4.89,4.865,4.875
1903-12-31,4.875,4.89,4.845,4.855
1904-12-30,4.855,4.895,4.855,4.88
1905-12-29,4.88,4.8815,4.8505,4.856
1906-12-31,4.856,4.88,4.84,4.84
1907-12-31,4.84,4.8875,4.825,4.8425
1908-12-31,4.8425,4.874,4.8425,4.871
1909-12-31,4.871,4.8835,4.8565,4.8675
1910-12-30,4.8675,4.885,4.865,4.865
1911-12-29,4.865,4.875,4.865,4.87
1912-12-31,4.87,4.8785,4.845,4.853
1913-12-31,4.853,4.88,4.85,4.855
1914-12-31,4.855,6.25,4.8513,4.8525
1915-12-31,4.8525,4.8538,4.55,4.7362
1916-12-29,4.7362,4.7881,4.7362,4.7556
1917-12-31,4.7556,4.76,4.7512,4.7512
1918-12-31,4.7512,4.7606,4.7512,4.7581
1919-12-31,4.7581,4.7583,3.6525,3.75
1920-12-31,3.75,3.9875,3.18,3.525
1921-12-30,3.525,4.2063,3.525,4.2063
1922-12-29,4.2063,4.6475,4.17,4.6325
1923-12-31,4.6325,4.715,4.26,4.3187
1924-12-31,4.3187,4.73,4.2038,4.7225
1925-12-31,4.7225,4.86,4.7225,4.8481
1926-12-31,4.8481,4.8659,4.84,4.8481
1927-12-30,4.8481,4.88,4.8444,4.8762
1928-12-31,4.8762,4.8794,4.8431,4.8488
1929-12-31,4.8488,4.8781,4.8406,4.8744
1930-12-31,4.8744,4.8744,4.8516,4.8516
1931-12-31,4.8516,4.8681,3.2325,3.3775
1932-12-30,3.3775,3.795,3.1444,3.3275
1933-12-29,3.3275,5.3875,3.3127,5.12
1934-12-31,5.12,5.1725,4.87,4.9363
1935-12-31,4.9363,4.9812,4.7238,4.93
1936-12-31,4.93,5.0669,4.8725,4.9088
1937-12-31,4.9088,5.015,4.8756,4.9969
1938-12-30,4.9969,5.0338,4.6,4.6363
1939-12-29,4.6363,4.6969,3.725,3.9537
1940-12-31,3.9537,4.04,2.995,4.035
1941-12-31,4.035,4.035,4.0025,4.0325
1942-12-31,4.0325,4.0325,4.0325,4.0325
1943-12-31,4.0325,4.0325,4.02,4.02
1944-12-29,4.02,4.02,4.02,4.02
1945-12-31,4.02,4.0287,4.02,4.025
1946-12-31,4.025,4.025,4.025,4.025
1947-12-31,4.025,4.0381,4.0212,4.0331
1948-12-31,4.0331,4.0331,3.008,4.0319
1949-12-30,4.0319,4.0319,2.43,2.8006
1950-12-29,2.8006,2.8019,2.318,2.8013
1951-12-31,2.8013,2.8019,2.3,2.7814
1952-12-31,2.7814,2.8138,2.17,2.8096
1953-12-31,2.8096,2.82,2.7957,2.8106
1954-12-31,2.8106,2.8194,2.704,2.7856
1955-12-30,2.7856,2.8046,2.71,2.8025
1956-12-31,2.8025,2.8104,2.74,2.7856
1957-12-31,2.7856,2.8093,2.7818,2.8093
1958-12-31,2.8093,2.8184,2.7981,2.8021
1959-12-31,2.8021,2.8176,2.7964,2.7995
1960-12-30,2.7995,2.8169,2.798,2.8038
1961-12-29,2.8038,2.8169,2.785,2.8081
1962-12-31,2.8081,2.8169,2.8,2.8025
1963-12-31,2.8025,2.8062,2.7962,2.7969
1964-12-31,2.7969,2.8006,2.7806,2.79
1965-12-31,2.79,2.805,2.7894,2.8025
1966-12-30,2.8025,2.805,2.7869,2.79
1967-12-29,2.79,2.8012,2.4005,2.4067
1968-12-31,2.4067,2.4122,2.3805,2.3849
1969-12-31,2.3849,2.399,2.3811,2.3989
1970-12-31,2.3989,2.4119,2.3792,2.3938
1971-12-31,2.3941,2.5536,2.3941,2.5523
1972-12-29,2.5523,2.6434,2.3299,2.348
1973-12-31,2.3469,2.5833,2.3063,2.3223
1974-12-31,2.3041,2.4349,2.1734,2.3469
1975-12-31,2.3332,2.4319,2.0169,2.0235
1976-12-31,2.0243,2.0342,1.5667,1.701
1977-12-30,1.7042,1.9168,1.6969,1.9168
1978-12-29,1.9608,2.0978,1.807,2.0412
1979-12-31,2.03,2.3288,1.979,2.2183
1980-12-31,2.2427,2.4462,2.1349,2.3895
1981-12-31,2.3821,2.4272,1.7709,1.915
1982-12-31,1.9257,1.9257,1.5926,1.6179
1983-12-30,1.6234,1.6234,1.415,1.4514
1984-12-31,1.4288,1.4914,1.1579,1.1579
1985-12-31,1.1478,1.4888,1.0521,1.4453
1986-12-31,1.4505,1.555,1.377,1.4826
1987-12-31,1.4899,1.8861,1.4706,1.8861
1988-12-30,1.8772,1.9051,1.6631,1.8083
1989-12-29,1.8225,1.8225,1.5145,1.6145
1990-12-31,1.6108,1.9759,1.5946,1.9286
1991-12-31,1.9425,1.9996,1.6015,1.8671
1992-12-31,1.8685,2.004,1.5103,1.514
1993-12-31,1.502,1.5911,1.418,1.478
1994-12-30,1.476,1.6377,1.462,1.5654
1995-12-29,1.564,1.6439,1.5305,1.553
1996-12-31,1.5569,1.7123,1.495,1.7123
1997-12-31,1.6863,1.7144,1.5773,1.6469
1998-12-31,1.6469,1.7367,1.6077,1.654
1999-12-31,1.654,1.6793,1.547,1.6176
2000-12-29,1.6176,1.6578,1.3945,1.4957
2001-12-31,1.4959,1.5103,1.3672,1.4527
2002-12-31,1.4504,1.6129,1.4037,1.6115
2003-12-31,1.6119,1.7944,1.5465,1.7863
2004-12-31,1.7843,1.9549,1.7477,1.9192
2005-12-30,1.919,1.9324,1.7049,1.7229
2006-12-29,1.7209,1.9841,1.7186,1.9587
2007-12-31,1.9619,2.1164,1.9184,1.9869
2008-12-31,1.9866,2.039,1.4354,1.462
2009-12-31,1.4738,1.7041,1.3502,1.6165
2010-12-31,1.6129,1.6456,1.4232,1.5609
2011-12-30,1.5532,1.6746,1.5272,1.5548
2012-12-31,1.5506,1.6308,1.5234,1.6244
2013-12-31,1.6333,1.6579,1.4813,1.656
2014-12-31,1.6577,1.7192,1.5488,1.5588
2015-12-31,1.5579,1.593,1.4567,1.47368
2016-12-30,1.47352,1.50052,1.18637,1.2323
2017-12-29,1.2343,1.36542,1.19884,1.35006
2018-12-31,1.35155,1.43765,1.34583,1.39391
