Date,Open,High,Low,Close
1971-12-31,357.73,359.34,314.96,315.02
1972-12-29,314.86,314.97,294.12,301.66
1973-12-31,301.39,302.57,254.45,280.28
1974-12-31,280.82,305.33,274.43,301.01
1975-12-31,300.65,306.85,284.66,305.16
1976-12-31,305.05,306,286.03,293.08
1977-12-30,292.46,292.91,237.81,239.97
1978-12-29,237.59,242.42,177.06,194.29
1979-12-31,194.58,250.86,194.58,240.3
1980-12-31,238.45,261.41,203.09,203.09
1981-12-31,202.49,246.11,199.06,219.79
1982-12-31,218.76,277.66,218.76,234.7
1983-12-30,232,247.04,226.76,231.71
1984-12-31,232.45,251.6,222.69,251.6
1985-12-31,251.81,262.81,200.24,200.24
1986-12-31,199.15,202.71,151.99,158.31
1987-12-31,158.26,159.41,121.25,121.25
1988-12-30,122.71,136.52,121.1,125.05
1989-12-29,123.6,149.63,123.6,143.79
1990-12-31,146.25,159.91,125.05,135.75
1991-12-31,134.5,141.94,124.85,124.85
1992-12-31,124.51,134.55,119.36,124.74
1993-12-31,125.42,126.08,101.07,111.64
1994-12-30,112.5,113.13,96.73,99.56
1995-12-29,99.55,104.7,79.7,103.35
1996-12-31,103.41,116.4,103.07,115.9
1997-12-31,115.85,131.56,110.52,130.61
1998-12-31,130.55,147.63,111.53,113.2
1999-12-31,113.28,124.79,101.22,102.21
2000-12-29,102.11,115.05,101.31,114.27
2001-12-31,114.35,132.01,113.52,131.71
2002-12-31,132.02,134.99,115.57,118.74
2003-12-31,118.78,121.89,106.73,107.35
2004-12-31,107.31,114.97,101.83,102.56
2005-12-30,102.62,121.39,101.67,117.74
2006-12-29,117.68,119.87,108.99,119.05
2007-12-31,118.98,124.16,107.2,111.64
2008-12-31,111.88,111.97,87.17,90.67
2009-12-31,90.87,101.43,84.84,93.02
2010-12-31,92.914,94.97,80.295,81.146
2011-12-30,81.01,85.52,75.57,76.9
2012-12-31,77.1,86.662,76.03,86.55
2013-12-31,86.849,105.41,86.756,105.28
2014-12-31,105.36,121.8,100.75,119.81
2015-12-31,119.83,125.85,115.84,120.191
2016-12-30,120.295,121.688,99.101,116.875
2017-12-29,116.882,118.606,107.325,112.673
2018-12-31,112.602,113.387,104.648,109.09
